subgroup,date,approval,disapproval
Voters,2021-03-15,55.644461,39.501791
Voters,2021-03-14,54.713892,42.262693
Voters,2021-03-15,53.736315,41.268878
Voters,2021-03-15,59.945862,35.001729
Voters,2021-03-16,53.11315,42.012448
Voters,2021-03-16,54.736315,40.268878
Voters,2021-03-17,56.329668,40.232299
Voters,2021-03-17,53.736315,41.268878
Voters,2021-03-18,54.736315,42.268878
Voters,2021-03-21,50.674405,43.688217
Voters,2021-03-20,58.354892,35.790093
Voters,2021-03-21,51.736315,43.268878
Voters,2021-03-20,58.774918,35.757176
Voters,2021-03-22,53.404541,40.924288
Voters,2021-03-22,50.736315,44.268878
Voters,2021-03-22,55.713892,41.262693
Voters,2021-03-22,54.945862,41.001729
Voters,2021-03-23,50.736315,44.268878
Voters,2021-03-23,52.329668,42.232299
Voters,2021-03-22,53.613423,37.916517
Voters,2021-03-24,49.736315,45.268878
Voters,2021-03-25,50.736315,45.268878
Voters,2021-03-25,53.071613,40.444089
Voters,2021-03-25,56.713892,40.262693
Voters,2021-03-26,56.713892,40.262693
Voters,2021-03-29,54.644461,40.501791
Voters,2021-03-28,51.736315,44.268878
Voters,2021-03-29,50.736315,44.268878
Voters,2021-03-29,53.901541,42.39153
Voters,2021-03-29,55.945862,40.001729
Voters,2021-03-30,51.736315,43.268878
Voters,2021-03-30,51.329668,42.232299
Voters,2021-03-31,50.736315,44.268878
Voters,2021-04-01,50.736315,44.268878
Voters,2021-04-04,49.736315,45.268878
Voters,2021-04-04,56.945862,38.001729
Voters,2021-04-05,49.736315,45.268878
Voters,2021-04-05,56.713892,40.262693
Voters,2021-04-06,53.329668,41.232299
Voters,2021-04-06,51.736315,44.268878
Voters,2021-04-07,53.736315,42.268878
Voters,2021-04-08,52.736315,42.268878
Voters,2021-04-11,53.722465,36.972257
Voters,2021-04-11,52.736315,42.268878
Voters,2021-04-13,53.071613,40.444089
Voters,2021-04-12,54.644461,41.501791
Voters,2021-04-12,53.90104,42.858186
Voters,2021-04-12,51.848728,41.964749
Voters,2021-04-12,52.736315,42.268878
Voters,2021-04-13,56.713892,40.262693
Voters,2021-04-13,56.188729,40.185273
Voters,2021-04-12,50.11315,45.012448
Voters,2021-04-12,56.945862,38.001729
Voters,2021-04-13,52.736315,42.268878
Voters,2021-04-13,52.329668,42.232299
Voters,2021-04-14,52.736315,42.268878
Voters,2021-04-15,51.736315,43.268878
Voters,2021-04-18,52.736315,42.268878
Voters,2021-04-18,55.624345,42.319292
Voters,2021-04-19,52.736315,43.268878
Voters,2021-04-20,51.879483,46.819596
Voters,2021-04-19,55.945862,39.001729
Voters,2021-04-19,56.713892,40.262693
Voters,2021-04-20,52.736315,42.268878
Voters,2021-04-20,52.329668,41.232299
Voters,2021-04-20,57.354892,36.790093
Voters,2021-04-20,51.198016,42.547332
Voters,2021-04-21,52.736315,43.268878
Voters,2021-04-23,53.674405,42.688217
Voters,2021-04-21,53.355005,42.453961
Voters,2021-04-21,55.071613,43.444089
Voters,2021-04-22,54.736315,40.268878
Voters,2021-04-25,53.736315,41.268878
Voters,2021-04-25,54.945862,38.001729
Voters,2021-04-26,52.736315,42.268878
Voters,2021-04-26,52.644461,43.501791
Voters,2021-04-26,52.798001,43.821369
Voters,2021-04-26,57.945862,38.001729
Voters,2021-04-26,54.945862,40.001729
Voters,2021-04-27,53.329668,40.232299
Voters,2021-04-27,50.736315,44.268878
Voters,2021-04-28,55.713892,41.262693
Voters,2021-04-28,50.736315,44.268878
Voters,2021-04-29,55.213892,40.262693
Voters,2021-04-29,49.736315,45.268878
Voters,2021-04-30,53.123028,38.818327
Voters,2021-05-02,50.736315,43.268878
Voters,2021-05-03,51.736315,43.268878
Voters,2021-05-03,54.945862,39.001729
Voters,2021-05-04,52.736315,41.268878
Voters,2021-05-04,50.329668,45.232299
Voters,2021-05-06,49.744921,45.887093
Voters,2021-05-05,53.736315,41.268878
Voters,2021-05-04,55.713892,41.262693
Voters,2021-05-06,53.736315,41.268878
Voters,2021-05-07,54.071613,41.444089
Voters,2021-05-09,52.736315,42.268878
Voters,2021-05-09,53.945862,41.001729
Voters,2021-05-10,54.644461,40.501791
Voters,2021-05-10,52.736315,42.268878
Voters,2021-05-09,52.613423,38.916517
Voters,2021-05-11,50.736315,44.268878
Voters,2021-05-11,53.329668,43.232299
Voters,2021-05-11,50.11315,44.012448
Voters,2021-05-12,52.736315,42.268878
Voters,2021-05-13,51.736315,44.268878
Voters,2021-05-16,53.736315,42.268878
Voters,2021-05-18,54.688729,42.685273
Voters,2021-05-17,52.736315,42.268878
